,device,file,token,context
44,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,AppPredictionInternal,083f71f libsqlite3.dylib&lt;7B66E49D-0FE5-394B-ADCA-F5731B03DFDA&gt; /usr/lib/libsqlite3.dylibOx1f01de000 - Ox1f082b55f AppPredictionInternal &lt;4DB33F20- C15A-3C17-9C7C-D0E1A3D85EA3&gt; /System/Library/PrivateFrameworks/AppPredictionInternal.framework/AppPred
45,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,AppPredictionInternal,000 - Ox1f082b55f AppPredictionInternal &lt;4DB33F20- C15A-3C17-9C7C-D0E1A3D85EA3&gt; /System/Library/PrivateFrameworks/AppPredictionInternal.framework/AppPredictionInternal0x22c45d000 -0x22c46460f libsystem_platform.dylib &lt;2FEF24DE-6723-3799-A5C5-9E3DF1CD26
46,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,AppPredictionInternal,nternal &lt;4DB33F20- C15A-3C17-9C7C-D0E1A3D85EA3&gt; /System/Library/PrivateFrameworks/AppPredictionInternal.framework/AppPredictionInternal0x22c45d000 -0x22c46460f libsystem_platform.dylib &lt;2FEF24DE-6723-3799-A5C5-9E3DF1CD2600&gt; /usr/lib/system/libsystem
47,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,de8] 2 ??? (AppPredictionlnternal + 2960720) [0x1f04b0d50] 2 ??? (AppPredictionlnternal + 3200852) [0x1f04eb754] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPre
48,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,0) [0x1f04b0d50] 2 ??? (AppPredictionlnternal + 3200852) [0x1f04eb754] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPredictionlnternal + 3201968) [0x1f04ebbb0] 1
49,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,nal + 3200852) [0x1f04eb754] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPredictionlnternal + 3201968) [0x1f04ebbb0] 1 ??? (AppPredictionlnternal + 3202728) [0x
50,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,de8] 2 ??? (AppPredictionlnternal + 2960720) [0x1f04b0d50] 2 ??? (AppPredictionlnternal + 3200852) [0x1f04eb754] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPre
51,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,0) [0x1f04b0d50] 2 ??? (AppPredictionlnternal + 3200852) [0x1f04eb754] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPredictionlnternal + 3201968) [0x1f04ebbb0] 1
52,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,nal + 3200852) [0x1f04eb754] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPredictionlnternal + 3201968) [0x1f04ebbb0] 1 ??? (AppPredictionlnternal + 3202728) [0x
53,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,[0x1f02908cc] [0x1f04aae6c] [0x1f 0203500] [0x1f01e9424] [0x1f01e9518] [0x1a9d7c728] [0x1a9d86584] [0x1f01f32e0] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPre
54,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub, [0x1f01e9424] [0x1f01e9518] [0x1a9d7c728] [0x1a9d86584] [0x1f01f32e0] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPredictionlnternal + 3201968) 1 ??? (AppPredi
55,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub, [0x1a9d86584] [0x1f01f32e0] 2 ??? (BiomePubSub + 13060) [0x1ccb81304] 2 ??? (BiomePubSub + 11548) [0x1ccb80d1c] 2 ??? (BiomePubSub + 8144) [0x1ccb7ffd0] 2 ??? (AppPredictionlnternal + 3201968) 1 ??? (AppPredictionlnternal + 3202728) 1 ??? (AppPredict
56,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,-EA1DF904950B&gt; /System/Library/PrivateFrameworks/ProactiveSupport.framework/ProactiveSupport0x1ccb7e000 -0x1ccbd641f BiomePubSub&lt;33D2DFC7-1622-3D1F-B847-3EEEE5C51DD6&gt; /System/Library/PrivateFrameworks/BiomePubSub.framework/BiomePubSubOx1d06bf
57,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,pport0x1ccb7e000 -0x1ccbd641f BiomePubSub&lt;33D2DFC7-1622-3D1F-B847-3EEEE5C51DD6&gt; /System/Library/PrivateFrameworks/BiomePubSub.framework/BiomePubSubOx1d06bf000 -Ox1f01de000 -Ox1d083f71f libsqlite3.dylibInternal&lt;7B66E49D-0FE5-394B-ADCA-F5731B03
58,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,cbd641f BiomePubSub&lt;33D2DFC7-1622-3D1F-B847-3EEEE5C51DD6&gt; /System/Library/PrivateFrameworks/BiomePubSub.framework/BiomePubSubOx1d06bf000 -Ox1f01de000 -Ox1d083f71f libsqlite3.dylibInternal&lt;7B66E49D-0FE5-394B-ADCA-F5731B03DFDA&gt; /usr/lib/libs
59,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,EA1DF904950B&gt; /System/Library/PrivateFrameworks/ProactiveSupport.framework/Proactive Support0x1ccb7e000 -Ox1ccbd641f BiomePubSub&lt;33D2DFC7-1622-3D1F-B847-3EEEE5C51DD6&gt; /System/Library/PrivateFrameworks/BiomePubSub.framework/BiomePubSubOx1d06bf
60,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,pport0x1ccb7e000 -Ox1ccbd641f BiomePubSub&lt;33D2DFC7-1622-3D1F-B847-3EEEE5C51DD6&gt; /System/Library/PrivateFrameworks/BiomePubSub.framework/BiomePubSubOx1d06bf000 -Ox1d083f71f libsqlite3.dylib&lt;7B66E49D-0FE5-394B-ADCA-F5731B03DFDA&gt; /usr/lib/lib
61,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,BiomePubSub,cbd641f BiomePubSub&lt;33D2DFC7-1622-3D1F-B847-3EEEE5C51DD6&gt; /System/Library/PrivateFrameworks/BiomePubSub.framework/BiomePubSubOx1d06bf000 -Ox1d083f71f libsqlite3.dylib&lt;7B66E49D-0FE5-394B-ADCA-F5731B03DFDA&gt; /usr/lib/libsqlite3.dylibOx1f01de0
62,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,CoreDuet,D730240B-COBF-3F5F-99E8-60E0748D43D6&gt; /System/Library/Frameworks/CoreData.framework/CoreDataOx1ae151000 -Ox1ae37e31f CoreDuet&lt;D8D650FF-9A08-31A6-BE39-F858D9DE4A0C&gt; /System/Library/PrivateFrameworks/Core Duet.framework/CoreDuet&lt;63362AFO-
63,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,CoreDuet,-Ox1ae37e31f CoreDuet&lt;D8D650FF-9A08-31A6-BE39-F858D9DE4A0C&gt; /System/Library/PrivateFrameworks/Core Duet.framework/CoreDuet&lt;63362AFO-0x1c316e000 - Ox1c31f849f ProactiveSupport A181-32A7-B016-EA1DF904950B&gt; /System/Library/PrivateFramework
64,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,CoreDuet,D730240B-COBF-3F5F-99E8-60E0748D43D6&gt; /System/Library/Frameworks/CoreData.framework/CoreDataOx1ae151000 -Ox1ae37e31f CoreDuet&lt;D8D650FF-9A08-31A6-BE39-F858D9DE4A0C&gt; /System/Library/PrivateFrameworks/Core Duet.framework/CoreDuet&lt;63362AFO-
65,iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,CoreDuet,-Ox1ae37e31f CoreDuet&lt;D8D650FF-9A08-31A6-BE39-F858D9DE4A0C&gt; /System/Library/PrivateFrameworks/Core Duet.framework/CoreDuet&lt;63362AFO-0x1c316e000 - Ox1c31f849f ProactiveSupport A181-32A7-B016-EA1DF904950B&gt; /System/Library/PrivateFramework
